Date,Open,High,Low,Close,Adj Close,Volume
03-01-2023,267,271,266,270,257.040009,1049876
04-01-2023,271.5,271.5,268.5,268.5,255.612,749417
05-01-2023,271,275,271,271,257.992004,1159580
06-01-2023,272,273,270,271.5,258.468018,625059
09-01-2023,273.5,275.5,272.5,275,261.800018,1470961
10-01-2023,274,274,269.5,269.5,256.563995,2029005
11-01-2023,270.5,271.5,269,269,256.088013,1517495
12-01-2023,270,270.5,263.5,265,252.279999,1623230
13-01-2023,267.5,268.5,265.5,268,255.136002,1084218
16-01-2023,269,271,268,269,256.088013,1012253
17-01-2023,270,270.5,268,268,255.136002,1332228
30-01-2023,275,280,273.5,280,266.559998,4377859
31-01-2023,280,280.5,271.5,272,258.944,2874085
01-02-2023,274.5,276,272.5,275,261.800018,1138611
02-02-2023,277,279,275,278.5,265.132019,1549278
03-02-2023,278,279,275.5,278,264.656006,1319831
06-02-2023,274.5,279,274,276,262.752014,1842049
07-02-2023,276,279,275,278,264.656006,1745157
08-02-2023,278,279.5,276.5,277.5,264.179993,1808530
09-02-2023,276.5,277.5,276,276,262.752014,1248637
10-02-2023,273.5,274,270,270,257.040009,2794347
13-02-2023,270.5,275,270,274.5,261.324005,1572918
14-02-2023,276.5,278,276,276.5,263.227997,1141089
15-02-2023,277.5,277.5,275.5,276,262.752014,1211934
16-02-2023,277.5,280,277.5,278,264.656006,1841756
17-02-2023,279.5,280,277.5,279.5,266.084015,911274
20-02-2023,279.5,279.5,278,278,264.656006,635792
21-02-2023,278.5,279.5,277,279.5,266.084015,717133
22-02-2023,278.5,281,277.5,279.5,266.084015,1329982
23-02-2023,281,282,279.5,280.5,267.036011,1539817
24-02-2023,282,282,278,278,264.656006,2513475
01-03-2023,277,279,275,276,262.752014,1981370
02-03-2023,277.5,282,276.5,281,267.511993,1567509
03-03-2023,282.5,284.5,282,284,270.368011,1155317
06-03-2023,286.5,288,285,286.5,272.748016,1401276
07-03-2023,287,290,286.5,289.5,275.604004,1354127
08-03-2023,289,289,286,287.5,273.700012,1419465
09-03-2023,287,287.5,284,285.5,271.796021,1821629
10-03-2023,285,293,285,293,278.936005,4121558
13-03-2023,268,271.5,264.5,266,253.23201,8521919
14-03-2023,264,264,260.5,261,248.472,4961936
15-03-2023,262,264,261,261.5,248.948013,2459167
16-03-2023,260.5,264.5,260.5,263,250.376007,1999583
