Date,Open,High,Low,Close,Adj Close,Volume
03-01-2023,119,122.5,119,122.5,117.785713,1688380
04-01-2023,122.5,122.5,121,122,117.304955,1214832
05-01-2023,123,124,122.5,123.5,118.747231,2223376
06-01-2023,123.5,124.5,123,124,119.227989,915155
09-01-2023,125,126,124.5,126,121.151016,2305489
10-01-2023,125.5,126.5,124.5,126.5,121.631775,2023221
11-01-2023,127,127,125,125.5,120.670258,1301508
12-01-2023,125.5,126.5,124.5,125.5,120.670258,1209358
13-01-2023,126,127,125,125.5,120.670258,2053567
16-01-2023,126,127.5,124.5,125.5,120.670258,2162267
17-01-2023,126,128.5,125,127.5,122.593292,2867750
30-01-2023,130,133.5,130,133,127.88163,5311964
31-01-2023,132,134.5,129,131,125.958595,4824774
01-02-2023,131.5,134.5,130,134,128.84314,4106102
02-02-2023,134,134,131.5,133,127.88163,2807863
03-02-2023,132,134,131.5,132,126.920113,2079523
06-02-2023,131.5,135,131.5,132.5,127.400871,2646467
07-02-2023,132.5,134.5,131.5,134,128.84314,2392375
08-02-2023,134.5,135,132.5,132.5,127.400871,2727199
09-02-2023,132.5,133.5,131.5,132,126.920113,2105166
10-02-2023,131,131.5,128.5,128.5,123.55481,3500997
13-02-2023,128.5,132,128.5,131,125.958595,2878796
14-02-2023,131.5,133.5,131,133,127.88163,1499275
15-02-2023,133.5,134.5,130.5,131,125.958595,1706198
16-02-2023,132,136,132,135.5,130.285416,3048758
17-02-2023,135,136,133,135,129.804657,1861591
20-02-2023,135,136,134,134.5,129.323898,754447
21-02-2023,135,135.5,134.5,135,129.804657,627891
22-02-2023,133.5,137.5,133,136.5,131.246933,2844510
23-02-2023,140,145,139.5,141.5,136.05452,7680676
24-02-2023,143,144,136.5,137,131.727692,5850051
01-03-2023,136.5,140,135,139,133.650726,2974173
02-03-2023,140,140.5,136,139,133.650726,3877492
03-03-2023,140,140.5,138.5,139.5,134.131485,978547
06-03-2023,141.5,141.5,139,140,134.612244,1800070
07-03-2023,139.5,141.5,139.5,141,135.573761,1401231
08-03-2023,139.5,140.5,138,139.5,134.131485,2237880
09-03-2023,139.5,140.5,138.5,139,133.650726,1371769
10-03-2023,137.5,138,134.5,137,131.727692,4053690
13-03-2023,136.5,140.5,135.5,138,132.689209,4626747
14-03-2023,137,140,134,136.5,131.246933,4585885
15-03-2023,136.5,140,135.5,139,133.650726,2930350
16-03-2023,141,144,140,142.5,137.016037,7993636
17-03-2023,144.5,145,139,145,139.41983,6311560
20-03-2023,143.5,144,139.5,140.5,135.093002,3711322
21-03-2023,141.5,142,139.5,140,134.612244,1424846
22-03-2023,141,144.5,141,144.5,138.939072,3045491
23-03-2023,143,144.5,142.5,144,138.458313,966806
24-03-2023,143.5,144,141.5,144,138.458313,2496018
27-03-2023,144,144,142,143.5,137.977554,1170570
28-03-2023,143.5,143.5,141.5,142.5,137.016037,1232844
29-03-2023,142,143.5,141.5,143,137.496796,1849070
30-03-2023,145.5,147,142.5,143.5,137.977554,3930683
31-03-2023,144,144.5,142.5,144,138.458313,2959306
06-04-2023,144,145,142,145,139.41983,1519810
07-04-2023,145,145,143,144,138.458313,831402
10-04-2023,144,146,143.5,146,140.381332,1655432
